Team ID,Song Name,Feature Hash
1,Save-your-tears(instruments).wav,033d42651305464e56921f954dc5745300cdfaf230eaed4d9efff8173fdced40
1,Save-your-tears(lyrcis).wav,a18bae9c01d76b056223465a0bf2edf9961f7a5a44f8fed80a9bf8f604ab73d1
1,save-your-tears(original).wav,18bedb5dae0d33dc7af9d98488f9038ceac67722392ac712f6e5ca020024c356
3,Group3_SomeLikeYou_Full.wav,d270f85bdd6d48888b705414c10abe6e749d4bd2e8209ec733a4e90298e37c83
3,Group3_SomeLikeYou_Music.wav,4941361e507e1de4bdefabf5963bcfa77194ec9bb852cd89e7894cb0ce2b53dc
3,Group3_SomeLikeYou_Vocal.wav,bd9187689218d68393771b73cd7b293aa396a941c5e1e8ac61e874520d464d61
5,Group5_NinaCriedPower_Full.wav,92178b70f4b71ff61fe9088c5d72dd556c82b648ace0d0a48a379bad8344ea75
5,Group5_NinaCriedPower_Music.wav,71eef5856161c4751e47d075f14b4847477cba3771713114ddce29a64c12f860
5,Group5_NinaCriedPower_Vocals.wav,400cd6626c277c6f5ec6bd74081dde63f630c6adbd2884edd82f15c80860b9ec
6,Group6_Alkanas_Full.wav,602876c220b7c6fa8be6a0e56ccaeacb54cfad550839988f66ec6598b6a79b7b
6,Group6_Alkanas_Music.wav,ead7cbf3a243a2f8b13d2fe4f7ad5d42b27750292e68a45e98edf075156a07c9
6,Group6_Alkanas_Vocals.wav,92859e864ded289e6ee477062a664f3ff64c62ce01c944caa82aee6c2cacda5d
7,Group7_SweetDreams_Full.wav,46be012efdca8fa613b20300199d6f05d04087a3ec5ac3e2764c8a42ea463741
7,Group7_SweetDreams_Music.wav,30f2713a3d03998520e874158ff0dd954accef5be566c83d4eb40b2076bb94a1
7,Group7_SweetDreams_Vocals.wav,7e5c932fca135b6df31091d301fee664536b52d61ff40d621962f72aa9d55949
8,A Thousand Years(instruments).wav,6f6c5d3de52d6f9cc0952b2d53a0ebf25d39d10942a0037797450c71e848d2ee
8,A Thousand Years(lyrics).wav,ddb8bf279ed1db850ce93c4f8af8c794a9ae540f4f55edf758aeb5e70dc2cfaa
8,A Thousand Years(original).wav,da7cebf7801bad82ddbc8cebb69b2d2b5cc1df1c19bb9370237a6887cadf9fe0
9,Team9_Please_Please_Please_full.wav,a6e36ac56190662228d5b8698f4022729c863c2fedb8e95f980fd4acc3ee6c70
9,Team9_Please_Please_Please_music.wav,6850c6b8c32160c1538a52a4e497ab3a82696a459c210707923015fd1836b3d8
9,Team9_Please_Please_Please_vocal.wav,1c3f760a3cc1e7ef56086c3c63fb443cf451324f9a88aeebd7129030442beb78
10,wen_elkhael [music].wav,6af38d51746a69eb215e92927b40c0bd715b71b44a4e35524f75149f91da38e9
10,wen_elkhael [vocals].wav,bda20830a6f7275bcd3da5e0074f3a78c8e1368e739d68452d5c1a8f62326f19
10,wen_elkhael[music+vocals].wav,cb4e0702bd16b6ae5d23832878b5d78fc264d3892b2574223482db417b48472b
11,FE!N (Instruments).wav,9f81c1437c8e27af32362921f953d29ff3d355ba2bcbb53529e0a4262fd54ae7
11,FE!N (Vocals).wav,74599ac8d3a1e3f06a50c7099031fd27b62e43c6183d6ae333c3b2489692f66a
11,FE!N.wav,c52daa78275102a6934f2d092973034f22d3573efab742b09830dbb55c614361
13,Group13_Let_Her_Go_Music.wav,044fbad921f8f828b9c9a052894d72c09e8ac5850d25f495f504c676f032ba20
13,Group13_Let_Her_Go_Original.wav,1ade51045288022f909821a848ca1a3b40d9cb0123bc0dc287cfd07594e3f77b
13,Group13_Let_Her_Go_Vocals.wav,8a82169124636ab9331c60a3585ced553d4dc3e888548c77b42c8741b8c7e9d6
14,Group14_a sky full of stars_Full.mp3,c292ff580d1f7af14d23c1f89f8474546497ee8b2dfe764f36d243f23aa46c6d
14,Group14_a sky full of stars_Music.mp3,44eafb4010e83e5e9b7179b0d5a0b6f8b58c07e64be37aac238475cab08318ef
14,Group14_a sky full of stars_Vocals.mp3,36785adb26b0e4e9b068b861d69b8216843c1f599055fdc01c6306852673f8e4
15,Ya Lala(instruments).wav,7fa81780b1242627126c83e65d6b548644211e6d82e643286222690efb89d51c
15,Ya Lala(lyrics).wav,e0725221e7344f91d2a8d1c6b6e65f7a6fe31b1a82119efa063db66c30b000c0
15,Ya Lala(original).wav,103a97bd22dc4f41aa7d045b4f2c393d24897dc76023cc7bdcb98b933fae377d
16,Something Just Like That(Instruments).wav,0ade62a6bd314449d0811e93df62338c06f3d51459b58ae0acd11e92e34a4e9d
16,Something Just Like That(Lyrics).wav,04985c09902bd51850a46c728ab2ac001b0e2cb79a9315bfc6703f68a50b4f8d
16,Somthing Just Like That(Original).wav,c0441f98eacccdbba69578547e5f62ed0777a94dc8017c4958ba79fe1cb34ffa
17,Shake It Out (instruments) (2).wav,6f5cf372a6e8dbff46fc5b76db047320c140cb6fbc68e3e1860ebdf8713deb61
17,Shake It Out (lyrics) (2).wav,ac80c17b55163a4696dc36e04760ff066b290898b8f62de1863980253e456492
17,Shake It Out (original) (2).wav,77e6a10f1390147b8f67105046ff5b6d6249103f14bb6c016acb3729ff1af206
18,Group18_RollingInTheDeep_Music.wav,90c6db7981746271da1957a402173eb173e4f2502e18161b122d7368584c25c3
18,Group18_RollingInTheDeep_Original.wav,832298534cf124442be38e15f79730ac4580a70afefc7c553fb11fc2c118b26a
18,Group18_RollingInTheDeep_Vocals.wav,0dc700c3e7bee6e44a915102e8c2ce63c759b322c2acf68fb6c8985b12c9e461
19,Group19_ShadowOfMine_Full.wav,4faa76be78e648aec07c9943c5f4b6a9db692e0f7cc034d765f00f38548ccce6
19,Group19_ShadowOfMine_Music.wav,e0bb4bb368966959c89915c51c7ae997ab705741c6d7125e8f0d7a8e72069d9e
19,Group19_ShadowOfMine_Vocals.wav,6a0bd320459c50834732cb338810d33be28d0ec75a4afd689fef055befe0a029
20,Group20_HitTheRoadJack_Full.wav,8d0dfb98a8f53be7eef5e8f3e88dfa3514ae3912f84b8570c530385b4f5c7d22
20,Group20_HitTheRoadJack_Music.wav,57ee9aaad4175ae4b1665e431e027e7cbc52a8d59dec42b78053206fe3cb0a4c
20,Group20_HitTheRoadJack_Vocals.wav,de0b34b12590cccc674b9253e46dc661d126aa79e5c717477f4cccd43c65de02